0,1,2,high_level_substr
-2.293529,-3.3136394,-5.3641844,beta-mannan
-3.1916926,13.579752,1.773762,beta-glucan 
4.1853848,7.8198996,2.1735337,xylan
-6.9465957,7.2915764,-3.8090456,multiple_substrates
2.807427,9.642059,5.105579,multiple_substrates
-7.191438,-0.40976787,-5.938591,galactan
-0.9329808,-8.110795,-8.652368,galactan
-2.730807,4.2043905,1.9495263,fructan
-4.955869,-9.043117,-4.534573,glycosaminoglycan
-4.9462,-0.40606156,-4.8144417,xylan
4.7887683,3.467246,2.8482585,cellulose
-5.6344876,1.348496,-7.2861137,chitin
-4.1635,-0.69305724,-3.9801598,galactan
-2.185318,-3.9706328,-1.9666864,pectin
-0.23242961,-9.338308,4.1260653,mono/di/trisaccharide
-9.452292,4.172763,-1.7085329,mono/di/trisaccharide
-6.0102534,-3.0553496,-3.4275024,mono/di/trisaccharide
-2.6728423,-7.187849,2.8838859,glycosaminoglycan
-10.345065,3.5843456,-1.5767518,multiple_substrates
-2.3377998,-7.709263,2.112711,glycosaminoglycan
-2.0809958,-7.762045,2.4996133,glycosaminoglycan
-9.478984,3.4964025,-1.9789445,mono/di/trisaccharide
-8.966806,5.3386555,-2.6048725,mono/di/trisaccharide
-4.356358,-3.5391955,-6.314449,fructan
6.8133354,-5.340833,10.3625555,capsule polysaccharide
-6.2361035,-3.3335772,1.3618482,mono/di/trisaccharide
-1.336894,-10.687963,-1.0779452,algal glycans
-2.0490313,-3.8977556,-2.2022092,glycoprotein
-3.911716,-1.5233989,-6.391156,galactan
-2.412522,-5.9027147,-4.970007,beta-mannan
-2.456999,-8.854238,-8.258248,mono/di/trisaccharide
-3.4363875,-9.694525,-7.9700823,mono/di/trisaccharide
-3.3713317,-9.643751,-7.2727423,mono/di/trisaccharide
2.2360985,-8.351365,-2.288947,pectin
-9.25872,-1.421307,-7.4599543,pectin
3.494077,-1.9928907,9.260856,-
-6.836542,0.9552959,-6.29308,mono/di/trisaccharide
-5.5908437,0.14969829,-4.187632,multiple_substrates
3.4123857,9.63872,4.6102343,multiple_substrates
4.3594856,4.6679163,2.864379,cellulose
-6.8763885,7.3060975,-3.6682334,mono/di/trisaccharide
-2.2769248,-10.745151,-6.7077246,mono/di/trisaccharide
4.8923945,-0.46957332,10.104446,capsule polysaccharide
2.4331048,6.8402405,0.657055,xylan
-0.40796685,9.213686,-0.7530994,xylan
10.426745,-10.142227,9.670997,O-antigen
2.7126637,-5.245576,7.5682397,O-antigen
-4.615367,3.1578066,-1.240567,mono/di/trisaccharide
-2.0377963,-0.8830233,-3.2419252,multiple_substrates
-1.7234514,10.328211,2.8071642,multiple_substrates
-3.0496113,-5.630648,0.66453946,algal glycans
-2.060401,-8.599513,0.39791593,algal glycans
-2.9324112,-9.604709,0.12874079,algal glycans
-1.5711299,-9.92704,0.12985906,algal glycans
-2.6104999,-6.1295037,0.5981064,algal glycans
-2.1963449,-7.584174,-0.13362941,algal glycans
10.67546,-8.254677,6.315304,O-antigen
4.621578,-6.068349,4.290557,alpha-glucan
9.160246,-5.6489797,11.687498,O-antigen
6.597689,-4.1896324,10.385406,capsule polysaccharide
6.5212045,-5.163741,8.905099,capsule polysaccharide
6.6837287,-4.613476,10.590568,capsule polysaccharide
2.5642014,8.913279,2.5027606,xyloglucan
1.9016571,3.874042,1.7661493,xyloglucan
1.9880558,9.229722,1.1559542,xyloglucan
2.3071206,8.843396,2.0207107,xyloglucan
1.9880558,9.229722,1.1559542,xyloglucan
-1.2857978,-7.344424,-8.417948,mono/di/trisaccharide
4.212512,-2.1955752,9.90613,capsule polysaccharide
4.5812144,-3.6836162,8.8392315,capsule polysaccharide
4.347197,-3.4634655,9.079751,capsule polysaccharide
4.212518,-2.1955776,9.9061365,capsule polysaccharide
3.9766755,-1.5158082,10.173193,capsule polysaccharide
5.446035,-3.3449728,10.484726,capsule polysaccharide
6.1088004,-3.7596123,10.456286,capsule polysaccharide
6.315435,-8.677469,3.8540568,multiple_substrates
6.315435,-8.677469,3.8540568,multiple_substrates
-6.485605,-6.6524663,-4.308853,multiple_substrates
6.613007,-8.689388,4.6164794,multiple_substrates
6.613007,-8.689388,4.6164794,multiple_substrates
-1.7243783,-9.197807,0.7128037,pectin
-4.479976,-7.1502495,-5.69046,multiple_substrates
4.6293306,4.0459404,2.7352552,cellulose
5.041592,4.534854,1.0053651,cellulose
1.70078,9.463375,5.911935,cellulose
0.4526487,-9.522086,-1.1861894,cellulose
5.7271905,4.349744,1.8578446,cellulose
-6.74205,1.518242,-6.7579436,multiple_substrates
3.9988396,6.519823,2.8991854,cellulose
9.239095,-6.700172,7.1199865,O-antigen
-1.6119334,7.618908,4.803462,multiple_substrates
1.0231826,12.895303,3.7961915,multiple_substrates
0.784744,-0.9337311,-1.6485314,multiple_substrates
2.7338037,13.355079,3.1549,multiple_substrates
1.769988,13.958303,3.2768142,multiple_substrates
-1.6673174,7.7424088,3.8451574,multiple_substrates
-1.820031,7.681989,3.8452806,multiple_substrates
-2.126758,-1.6709373,-0.62167114,multiple_substrates
3.541237,9.099365,3.9649003,beta-mannan
-9.805412,4.210104,-0.9985512,mono/di/trisaccharide
-0.54458773,1.2559602,-0.61095905,multiple_substrates
0.32379293,-0.05083307,0.25785622,multiple_substrates
-0.8517616,-2.7973537,-1.5250968,multiple_substrates
-0.96115494,-2.655735,-1.404387,multiple_substrates
0.17724885,0.09536619,-0.22158036,multiple_substrates
0.40721396,0.92961276,3.1224208,multiple_substrates
-7.141811,-1.3683168,-6.3209667,multiple_substrates
0.4026333,-1.6457461,-2.845029,multiple_substrates
0.28681055,-1.9234078,-2.9784126,multiple_substrates
0.28676,-1.9234593,-2.9783852,multiple_substrates
-1.0710022,3.0224051,-3.8922474,mono/di/trisaccharide
0.37666336,0.90154403,3.0563128,multiple_substrates
-6.7384562,0.75916874,-6.8370395,multiple_substrates
5.194972,5.03358,1.025343,mono/di/trisaccharide
0.74449617,10.914773,6.165419,N-glycan
3.7742665,-6.0668936,1.2308631,N-glycan
-3.3365145,0.227189,0.4707451,N-glycan
4.4741874,10.830769,0.9547512,multiple_substrates
6.220319,5.0781307,0.7566284,N-glycan
4.003729,-4.8218145,-3.618213,multiple_substrates
-4.83039,-1.743899,-4.554632,mono/di/trisaccharide
-0.9040354,11.451458,4.0366683,multiple_substrates
-3.3803341,-4.3931913,-4.152509,mono/di/trisaccharide
-2.762746,-0.052989095,-6.0660477,mono/di/trisaccharide
2.3307304,10.064985,-1.5701926,beta-glucan 
-0.8242017,-11.961147,0.86356217,multiple_substrates
-2.88395,-8.438911,0.04007806,multiple_substrates
-3.911716,-1.5233989,-6.391156,hemicellulose
0.1365864,2.645916,0.44206065,beta-mannan
2.3755326,-5.1356783,7.515166,O-antigen
2.7285807,-5.5748773,6.488702,O-antigen
-1.9049519,-0.99109477,2.8874025,hemicellulose
3.4140015,-3.99237,9.177414,exopolysaccharide
-0.48431644,-5.6912503,0.09798091,pectin
-0.47325218,-5.3188505,0.30469403,pectin
-0.7867957,-5.022114,0.4151968,pectin
-1.5386139,-9.678759,-8.728378,mono/di/trisaccharide
-6.5552106,2.5912988,-7.9654036,multiple_substrates
-6.498647,-6.6531367,-6.363076,mono/di/trisaccharide
-3.0161593,-4.958315,-6.290336,mono/di/trisaccharide
-3.4363875,-9.694525,-7.9700823,mono/di/trisaccharide
-7.850318,-1.4192095,-6.581024,mono/di/trisaccharide
5.7538652,-4.009558,10.882994,exopolysaccharide
-5.4288816,-3.7445838,-4.748252,chitin
-3.2697873,-3.4514241,0.8494632,multiple_substrates
-3.8254523,2.6882248,-0.63001275,algal glycans
-2.8734734,2.9935482,-0.42992064,algal glycans
-0.7480181,10.52862,1.7265263,algal glycans
3.728222,15.399566,0.059775785,algal glycans
-2.0650668,-8.5205765,0.15607376,algal glycans
-1.832143,-9.156305,0.27426746,algal glycans
-3.3490546,-8.498933,1.020816,algal glycans
-8.153815,6.4314575,-3.029054,mono/di/trisaccharide
-9.32008,5.4302444,-2.8965929,mono/di/trisaccharide
-8.7269335,-1.39777,-6.7085752,algal glycans
0.47461596,11.104255,6.6256614,mono/di/trisaccharide
-8.153815,6.4314575,-3.029054,mono/di/trisaccharide
-9.384638,5.628888,-2.5824943,mono/di/trisaccharide
0.4747698,11.104179,6.6255984,mono/di/trisaccharide
-2.699441,6.811602,2.8181007,alpha-mannan
0.17814843,7.3830686,2.7640483,alpha-mannan
0.2432294,15.03683,2.0036771,alpha-mannan
0.48624167,8.367622,4.001321,alpha-mannan
-1.1150029,8.145441,2.9112737,beta-mannan
-0.92889434,8.902681,2.0013459,beta-mannan
-0.08071472,-3.9614239,-5.475933,alpha-glucan
-1.4391265,9.009444,0.70970124,beta-mannan
-3.1219895,3.6342294,-3.7546365,mono/di/trisaccharide
2.0556555,15.691479,-0.133369,fructan
2.5786324,10.28942,-0.70070386,beta-glucan 
4.0589194,-4.2802052,-3.775002,N-glycan
4.0825963,-3.5750031,11.836452,O-antigen
4.4382224,-9.537645,5.379386,O-antigen
5.068931,6.2975545,1.2174946,alpha-glucan
1.4585756,9.520037,4.6075125,beta-mannan
-6.0048914,-1.3284187,-7.003329,mono/di/trisaccharide
4.525994,-3.2316594,10.620871,O-antigen
-1.4391776,9.009491,0.70966065,beta-mannan
-0.008602515,1.8046691,0.49031344,beta-mannan
-1.8735001,1.6402924,-2.2623587,beta-mannan
4.0875726,-9.663763,5.2023916,O-antigen
10.413273,-10.07149,10.340488,O-antigen
10.861198,-9.804041,9.809188,O-antigen
10.67546,-8.254677,6.315304,O-antigen
-9.233671,3.5795,-2.3159986,mono/di/trisaccharide
-6.376477,0.76576436,-5.678925,beta-glucan 
4.1575375,-5.151233,8.511526,O-antigen
1.6055927,2.1384044,1.7095433,pectin
1.5870118,2.9007742,-1.8245641,pectin
0.38826057,-7.6063848,-0.5895267,pectin
-0.25556064,3.2715576,2.4664526,pectin
-1.8104858,3.1625502,3.031939,pectin
1.102152,10.493712,5.613865,N-glycan
-10.632095,4.6609645,-3.4817834,mono/di/trisaccharide
-1.3121579,-8.080514,3.7570434,human milk oligosaccharide
-5.9227853,-4.6612754,-7.3010273,mono/di/trisaccharide
9.272841,-6.6230206,11.259814,O-antigen
-1.1406292,-10.827039,0.306285,algal glycans
10.516201,-9.489417,10.365588,O-antigen
9.160246,-5.6489797,11.687498,O-antigen
4.0875726,-9.663763,5.2023916,O-antigen
1.194514,13.441842,2.7514513,exopolysaccharide
5.9985943,17.333261,1.6991706,exopolysaccharide
2.8541925,13.429628,0.09865236,exopolysaccharide
1.0610567,15.749044,3.0441203,glycoprotein
-9.066888,2.4284382,-0.47625414,N-glycan
5.3141212,1.6414768,0.60181034,chitin
-6.1564846,-3.0760329,-7.598263,galactan
-2.6576374,-7.301211,2.635265,N-glycan
0.9052818,10.587467,4.9698677,N-glycan
-5.1348605,-5.9168296,-5.385607,galactan
-0.46360046,-9.170526,-8.703003,galactan
-4.6600437,-5.427614,-6.386726,galactan
-0.09873827,13.467878,-0.8409028,xyloglucan
-6.306446,-7.4842415,-4.7993865,algal glycans
-5.505204,-3.9034839,-7.9308057,multiple_substrates
0.9153206,1.2591039,-1.6936682,multiple_substrates
-4.6129513,9.3274145,0.87615997,multiple_substrates
1.5588293,12.602998,0.103297725,algal glycans
0.5667988,14.226234,-1.2288959,cellulose
3.1227665,14.15192,2.0269337,cellulose
2.433581,13.8836565,0.6873501,N-glycan
4.997952,4.8089323,0.9922144,cellulose
0.16014136,9.583057,2.1859055,algal glycans
5.2090955,-2.878612,9.222215,exopolysaccharide
-3.7004123,2.9064138,-4.0583825,xylan
1.6311938,8.011675,-1.1686221,galactan
-5.1626434,1.8453149,-5.7858872,-
-6.2781196,-4.5908523,-6.3283243,alpha-glucan
-3.1227355,13.539522,1.7778308,mono/di/trisaccharide
-7.456117,2.0924778,-8.445964,mono/di/trisaccharide
-7.027674,-1.2119678,-4.6204085,mono/di/trisaccharide
4.3468404,11.640449,0.4300901,algal glycans
-1.2635254,-11.302078,0.5254663,algal glycans
2.8976004,2.6658611,-3.0024934,alpha-glucan
-3.5413716,-8.308576,-0.64425945,exopolysaccharide
-10.615287,4.295788,-1.927743,beta-mannan
0.5003313,2.7812817,0.45468253,cellulose
-0.024310317,13.305528,0.69957876,cellulose
2.3699675,7.720402,-1.970094,cellulose
0.13378352,12.952636,0.6293587,cellulose
0.45577183,9.097765,-2.1140175,cellulose
3.4009697,15.08627,2.484948,mono/di/trisaccharide
-9.098096,2.557774,-0.55891174,mono/di/trisaccharide
-4.664965,1.5871297,-4.3678784,mono/di/trisaccharide
5.499952,-1.1534206,9.655339,capsule polysaccharide
3.7971911,-0.41786247,10.192051,capsule polysaccharide
-1.8474076,-4.245194,-0.7491043,pectin
4.3248506,-4.290831,6.9918976,capsule polysaccharide
-1.0113131,-8.546584,-0.80735385,host glycan
-0.3490333,0.1817821,1.3254734,multiple_substrates
8.091241,-8.4546,8.351784,capsule polysaccharide
4.954124,-2.1990118,8.188826,capsule polysaccharide
-0.07673695,-7.957496,3.8048234,capsule polysaccharide
6.0781364,-1.3775455,9.07139,capsule polysaccharide
6.143491,-9.038064,6.8279696,capsule polysaccharide
8.430416,-6.962741,10.809181,capsule polysaccharide
3.0683818,-5.6864724,5.94138,exopolysaccharide
10.67546,-8.254677,6.315304,capsule polysaccharide
9.011362,-7.6741214,8.599792,capsule polysaccharide
2.92677,0.5869861,2.0379665,multiple_substrates
2.3212187,8.246741,-3.5533264,multiple_substrates
-3.0504224,2.868286,-0.49926332,algal glycans
-1.2119515,-5.2544765,-6.7208495,multiple_substrates
-5.660316,-0.21060926,-5.167225,mono/di/trisaccharide
2.6854277,-3.2807348,0.5322038,alpha-glucan
-7.8865747,-1.3884611,-6.6340466,alpha-glucan
-2.4575982,-4.3879623,-2.5393827,chitin
4.315242,-2.425072,7.600244,multiple_substrates
-0.8024711,0.3836331,-2.3942285,mono/di/trisaccharide
-1.4073116,-9.703739,-8.430974,galactan
-6.7325807,-5.2549286,-7.756699,galactan
-2.8624253,-4.9064903,-6.1436205,multiple_substrates
-7.1864142,-4.491771,-6.401906,alpha-glucan
-6.211708,-0.28992406,-4.297251,multiple_substrates
-2.5243835,-8.762503,-7.594476,fructan
-5.611219,-5.8480077,-6.9990997,fructan
-5.611219,-5.8480077,-6.9990997,fructan
7.160509,-5.739597,9.628993,capsule polysaccharide
6.0816298,-6.884627,7.4329047,multiple_substrates
-6.79905,-4.221668,-7.386542,galactan
-5.6584496,-4.336046,-7.654591,galactan
-1.5386139,-9.678759,-8.728378,galactan
-6.73255,-5.255033,-7.75669,galactan
5.270689,-5.058496,8.894181,O-antigen
-10.829232,2.1148288,-2.4757993,-
10.68362,-9.376681,9.963343,multiple_substrates
2.1233137,6.48933,-0.02352859,xylan
8.28347,-6.0388317,6.9645967,O-antigen
-4.35469,-2.8894823,0.5048957,mono/di/trisaccharide
2.0027368,-1.8117692,-1.2183136,chitin
-4.7094574,-2.7061656,-7.5668464,xylan
-1.4375687,6.61119,-1.3674558,galactan
-1.6119926,1.6224673,-2.9953694,galactan
-3.8882673,-6.335982,-5.8178225,galactan
-5.1384444,-6.4642987,-5.57623,galactan
-3.6160727,-6.1611466,-5.939204,human milk oligosaccharide
-3.4025583,-2.641534,-6.700446,xylan
9.754765,-9.65421,10.2540455,O-antigen
1.4485065,2.7977972,-1.5663245,galactan
-6.074069,-5.720096,-3.0595949,chitin
1.4201525,10.239913,-1.6888279,galactan
0.41269493,-6.9626956,-0.73039687,pectin
1.4178476,10.226949,-1.1952751,galactan
-0.70199656,-1.7406812,0.047558647,chitin
3.3126273,14.147835,0.53743786,beta-glucan 
-4.705144,1.4688655,-6.438371,galactan
-2.3892822,-0.9537781,3.7904487,algal glycans
6.7437897,-3.3345516,12.417586,cellulose
1.9961909,10.2794895,5.348209,mono/di/trisaccharide
-0.898441,-12.041903,0.014518834,algal glycans
10.040474,-10.042224,9.767282,multiple_substrates
2.2723746,15.672522,-1.1812568,multiple_substrates
1.0425798,4.2410564,2.1784449,multiple_substrates
-3.1916926,13.579752,1.773762,multiple_substrates
3.7208776,-6.0775895,1.2154287,algal glycans
2.954012,-2.335924,0.41668788,algal glycans
2.765978,-3.3359356,2.1060388,-
-10.213823,4.6587768,-2.1802206,mono/di/trisaccharide
2.7548976,-3.5316355,2.2654152,-
-5.740745,-2.2279425,-7.8982067,galactan
4.785237,-2.3583434,7.885188,capsule polysaccharide
0.5275756,13.651371,-2.0778146,beta-glucan 
1.7175777,-3.8605747,-2.250202,beta-glucan 
-9.101541,-0.42208564,-7.1209636,alpha-glucan
0.055254787,12.514265,1.0753226,xylan
2.5539136,2.824742,-1.7204096,xylan
-0.48431644,-5.6912503,0.09798091,pectin
